,game_id,date,team,opp,result,win,pt_diff,ortg,zone,fgm,fga,fg%
860,140,5/8/21,GSW,OKC,W 136-97,1,39,131.4,Mid-Range,4,8,0.5
861,141,5/8/21,OKC,GSW,L 97-136,0,-39,93.7,Mid-Range,2,4,0.5
862,142,5/8/21,IND,WAS,L 132-133 (OT),0,-1,110.1,Mid-Range,7,20,0.35
863,143,5/8/21,WAS,IND,W 133-132 (OT),1,1,110.9,Mid-Range,7,18,0.388888889
864,144,5/8/21,DET,PHI,L 104-118,0,-14,107.8,Mid-Range,5,12,0.416666667
865,145,5/8/21,PHI,DET,W 118-104,1,14,122.3,Mid-Range,7,12,0.583333333
866,146,5/8/21,POR,SAS,W 124-102,1,22,124.9,Mid-Range,7,13,0.538461538
867,147,5/8/21,SAS,POR,L 102-124,0,-22,102.8,Mid-Range,11,25,0.44
868,148,5/8/21,MEM,TOR,W 109-99,1,10,110.5,Mid-Range,2,5,0.4
869,149,5/8/21,TOR,MEM,L 99-109,0,-10,100.3,Mid-Range,4,18,0.222222222
870,150,5/8/21,HOU,UTA,L 116-124,0,-8,113.2,Mid-Range,2,7,0.285714286
871,151,5/8/21,UTA,HOU,W 124-116,1,8,121,Mid-Range,2,3,0.666666667
872,152,5/7/21,BOS,CHI,L 99-121,0,-22,102.4,Mid-Range,2,11,0.181818182
873,153,5/7/21,CHI,BOS,W 121-99,1,22,125.2,Mid-Range,8,20,0.4
874,154,5/7/21,CHA,ORL,W 122-112,1,10,121.7,Mid-Range,1,2,0.5
875,155,5/7/21,ORL,CHA,L 112-122,0,-10,111.7,Mid-Range,1,6,0.166666667
876,156,5/7/21,CLE,DAL,L 90-110,0,-20,97,Mid-Range,2,7,0.285714286
877,157,5/7/21,DAL,CLE,W 110-90,1,20,118.6,Mid-Range,7,13,0.538461538
878,158,5/7/21,MIA,MIN,W 121-112,1,9,118.4,Mid-Range,10,18,0.555555556
879,159,5/7/21,MIN,MIA,L 112-121,0,-9,109.6,Mid-Range,2,7,0.285714286
880,160,5/7/21,HOU,MIL,L 133-141,0,-8,121.7,Mid-Range,3,7,0.428571429
881,161,5/7/21,MIL,HOU,W 141-133,1,8,129.1,Mid-Range,5,11,0.454545455
882,162,5/7/21,NOP,PHI,L 107-109,0,-2,107.2,Mid-Range,2,12,0.166666667
883,163,5/7/21,PHI,NOP,W 109-107,1,2,109.2,Mid-Range,6,14,0.428571429
884,164,5/7/21,NYK,PHX,L 105-128,0,-23,106.2,Mid-Range,6,17,0.352941176
885,165,5/7/21,PHX,NYK,W 128-105,1,23,129.5,Mid-Range,6,13,0.461538462
886,166,5/7/21,LAL,POR,L 101-106,0,-5,102.4,Mid-Range,7,26,0.269230769
887,167,5/7/21,POR,LAL,W 106-101,1,5,107.4,Mid-Range,5,13,0.384615385
888,168,5/7/21,SAC,SAS,L 104-113,0,-9,102.6,Mid-Range,2,10,0.2
889,169,5/7/21,SAS,SAC,W 113-104,1,9,111.5,Mid-Range,15,26,0.576923077
890,170,5/7/21,DEN,UTA,L 120-127,0,-7,123.5,Mid-Range,2,7,0.285714286
891,171,5/7/21,UTA,DEN,W 127-120,1,7,130.7,Mid-Range,2,5,0.4
892,172,5/6/21,CHI,CHA,W 120-99,1,21,121.1,Mid-Range,3,10,0.3
