Game ID,Date,Team,Opp,Result,Pts,Opp_Pts,ORtg
184,5/6/21,TOR,WAS,L 129-131 (OT),129,131,119
185,5/6/21,WAS,TOR,W 131-129 (OT),131,129,120.8
186,5/5/21,ATL,PHX,W 135-103,135,103,149.1
187,5/5/21,PHX,ATL,L 103-135,103,135,113.8
188,5/5/21,CLE,POR,L 105-141,105,141,105.9
189,5/5/21,POR,CLE,W 141-105,141,105,142.2
190,5/5/21,DEN,NYK,W 113-97,113,97,108.7
191,5/5/21,NYK,DEN,L 97-113,97,113,93.3
192,5/5/21,HOU,PHI,L 115-135,115,135,116.5
193,5/5/21,PHI,HOU,W 135-115,135,115,136.8
194,5/5/21,IND,SAC,L 93-104,93,104,93.4
195,5/5/21,SAC,IND,W 104-93,104,93,104.5
196,5/5/21,MIL,WAS,W 135-134,135,134,124.8
197,5/5/21,WAS,MIL,L 134-135,134,135,123.8
198,5/5/21,MEM,MIN,W 139-135,139,135,131.5
199,5/5/21,MIN,MEM,L 135-139,135,139,127.8
200,5/5/21,BOS,ORL,W 132-96,132,96,130
201,5/5/21,ORL,BOS,L 96-132,96,132,94.6
202,5/5/21,SAS,UTA,L 94-126,94,126,95.9
203,5/5/21,UTA,SAS,W 126-94,126,94,128.5
204,5/4/21,CLE,PHX,L 118-134 (OT),118,134,112.2
205,5/4/21,PHX,CLE,W 134-118 (OT),134,118,127.5
206,5/4/21,CHA,DET,W 102-99,102,99,108.8
207,5/4/21,DET,CHA,L 99-102,99,102,105.6
208,5/4/21,LAC,TOR,W 105-100,105,100,110.5
209,5/4/21,TOR,LAC,L 100-105,100,105,105.2
210,5/4/21,DAL,MIA,W 127-113,127,113,133.9
211,5/4/21,MIA,DAL,L 113-127,113,127,119.1
212,5/4/21,BKN,MIL,L 118-124,118,124,115.6
213,5/4/21,MIL,BKN,W 124-118,124,118,121.5
214,5/4/21,GSW,NOP,L 103-108,103,108,99.8
215,5/4/21,NOP,GSW,W 108-103,108,103,104.6
216,5/4/21,OKC,SAC,L 99-103,99,103,99.4
217,5/4/21,SAC,OKC,W 103-99,103,99,103.4
218,5/3/21,ATL,POR,W 123-114,123,114,125.3
219,5/3/21,POR,ATL,L 114-123,114,123,116.2
220,5/3/21,CHI,PHI,L 94-106,94,106,101
221,5/3/21,PHI,CHI,W 106-94,106,94,113.9
222,5/3/21,DET,ORL,L 112-119,112,119,114.1
223,5/3/21,ORL,DET,W 119-112,119,112,121.3
224,5/3/21,DEN,LAL,L 89-93,89,93,94.6
225,5/3/21,LAL,DEN,W 93-89,93,89,98.8
226,5/3/21,MEM,NYK,L 104-118,104,118,110.6
227,5/3/21,NYK,MEM,W 118-104,118,104,125.4
228,5/3/21,GSW,NOP,W 123-108,123,108,119.8
229,5/3/21,NOP,GSW,L 108-123,108,123,105.2
230,5/3/21,SAS,UTA,L 99-110,99,110,103.3
231,5/3/21,UTA,SAS,W 110-99,110,99,114.7
232,5/3/21,IND,WAS,L 141-154,141,154,119.3
233,5/3/21,WAS,IND,W 154-141,154,141,130.3
234,5/2/21,BOS,POR,L 119-129,119,129,117.5
235,5/2/21,POR,BOS,W 129-119,129,119,127.4
236,5/2/21,CHA,MIA,L 111-121,111,121,115.3
237,5/2/21,MIA,CHA,W 121-111,121,111,125.7
238,5/2/21,DAL,SAC,L 99-111,99,111,103.2
239,5/2/21,SAC,DAL,W 111-99,111,99,115.8
240,5/2/21,HOU,NYK,L 97-122,97,122,100.6
241,5/2/21,NYK,HOU,W 122-97,122,97,126.6
242,5/2/21,LAL,TOR,L 114-121,114,121,109.8
243,5/2/21,TOR,LAL,W 121-114,121,114,116.5
244,5/2/21,BKN,MIL,L 114-117,114,117,110.5
245,5/2/21,MIL,BKN,W 117-114,117,114,113.4
246,5/2/21,OKC,PHX,L 120-123,120,123,123.2
247,5/2/21,PHX,OKC,W 123-120,123,120,126.3
248,5/2/21,PHI,SAS,W 113-111 (OT),113,111,110.1
249,5/2/21,SAS,PHI,L 111-113 (OT),111,113,108.1
250,5/1/21,ATL,CHI,W 108-97,108,97,114.6
251,5/1/21,CHI,ATL,L 97-108,97,108,103
252,5/1/21,CHA,DET,W 107-94,107,94,114.4
253,5/1/21,DET,CHA,L 94-107,94,107,100.5
254,5/1/21,CLE,MIA,L 107-124,107,124,119.4
255,5/1/21,MIA,CLE,W 124-107,124,107,138.4
256,5/1/21,DAL,WAS,W 125-124,125,124,126.8
257,5/1/21,WAS,DAL,L 124-125,124,125,125.8
258,5/1/21,GSW,HOU,W 113-87,113,87,107.1
259,5/1/21,HOU,GSW,L 87-113,87,113,82.5
260,5/1/21,DEN,LAC,W 110-104,110,104,124.6
261,5/1/21,LAC,DEN,L 104-110,104,110,117.8
262,5/1/21,MIN,NOP,L 136-140 (OT),136,140,114.6
263,5/1/21,NOP,MIN,W 140-136 (OT),140,136,117.9
264,5/1/21,IND,OKC,W 152-95,152,95,137.8
265,5/1/21,OKC,IND,L 95-152,95,152,86.1
266,5/1/21,MEM,ORL,L 111-112,111,112,111
267,5/1/21,ORL,MEM,W 112-111,112,111,112
268,5/1/21,TOR,UTA,L 102-106,102,106,107.3
269,5/1/21,UTA,TOR,W 106-102,106,102,111.5
270,4/30/21,BOS,SAS,W 143-140 (OT),143,140,128.6
271,4/30/21,SAS,BOS,L 140-143 (OT),140,143,125.9
